"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Dent County, MO"	"29065"	"2017"	"2017"	Suppressed	15480	Suppressed
	"Dent County, MO"	"29065"	"2018"	"2018"	Suppressed	15441	Suppressed
	"Dent County, MO"	"29065"	"2019"	"2019"	Suppressed	15573	Suppressed
	"Dent County, MO"	"29065"	"2020 "	"2020"	Suppressed	15481	Suppressed
	"Douglas County, MO"	"29067"	"2016"	"2016"	Suppressed	13358	Suppressed
	"Douglas County, MO"	"29067"	"2017"	"2017"	Suppressed	13300	Suppressed
	"Douglas County, MO"	"29067"	"2018"	"2018"	Suppressed	13373	Suppressed
	"Douglas County, MO"	"29067"	"2019"	"2019"	Suppressed	13185	Suppressed
	"Douglas County, MO"	"29067"	"2020 "	"2020"	Suppressed	13344	Suppressed
	"Dunklin County, MO"	"29069"	"2016"	"2016"	Suppressed	30535	Suppressed
	"Dunklin County, MO"	"29069"	"2017"	"2017"	Suppressed	30119	Suppressed
	"Dunklin County, MO"	"29069"	"2018"	"2018"	Suppressed	29423	Suppressed
	"Dunklin County, MO"	"29069"	"2019"	"2019"	Suppressed	29131	Suppressed
	"Dunklin County, MO"	"29069"	"2020 "	"2020"	Suppressed	28878	Suppressed
	"Franklin County, MO"	"29071"	"2016"	"2016"	10	102838	Unreliable
	"Franklin County, MO"	"29071"	"2017"	"2017"	Suppressed	103330	Suppressed
	"Franklin County, MO"	"29071"	"2018"	"2018"	Suppressed	103670	Suppressed
	"Franklin County, MO"	"29071"	"2019"	"2019"	12	103967	Unreliable
	"Franklin County, MO"	"29071"	"2020 "	"2020"	Suppressed	104469	Suppressed
	"Gasconade County, MO"	"29073"	"2016"	"2016"	Suppressed	14808	Suppressed
	"Gasconade County, MO"	"29073"	"2017"	"2017"	Suppressed	14726	Suppressed
	"Gasconade County, MO"	"29073"	"2018"	"2018"	Suppressed	14705	Suppressed
	"Gasconade County, MO"	"29073"	"2019"	"2019"	Suppressed	14706	Suppressed
	"Gasconade County, MO"	"29073"	"2020 "	"2020"	Suppressed	14566	Suppressed
	"Gentry County, MO"	"29075"	"2016"	"2016"	Suppressed	6661	Suppressed
	"Gentry County, MO"	"29075"	"2017"	"2017"	Suppressed	6665	Suppressed
	"Gentry County, MO"	"29075"	"2018"	"2018"	Suppressed	6628	Suppressed
	"Gentry County, MO"	"29075"	"2019"	"2019"	Suppressed	6571	Suppressed
	"Gentry County, MO"	"29075"	"2020 "	"2020"	Suppressed	6484	Suppressed
	"Greene County, MO"	"29077"	"2016"	"2016"	16	288690	Unreliable
	"Greene County, MO"	"29077"	"2017"	"2017"	25	289805	8.6
	"Greene County, MO"	"29077"	"2018"	"2018"	23	291923	7.9
	"Greene County, MO"	"29077"	"2019"	"2019"	20	293086	6.8
	"Greene County, MO"	"29077"	"2020 "	"2020"	17	294997	Unreliable
	"Grundy County, MO"	"29079"	"2016"	"2016"	Suppressed	10165	Suppressed
	"Grundy County, MO"	"29079"	"2017"	"2017"	Suppressed	9949	Suppressed
	"Grundy County, MO"	"29079"	"2018"	"2018"	Suppressed	9914	Suppressed
	"Grundy County, MO"	"29079"	"2019"	"2019"	Suppressed	9850	Suppressed
	"Grundy County, MO"	"29079"	"2020 "	"2020"	Suppressed	9595	Suppressed
	"Harrison County, MO"	"29081"	"2016"	"2016"	Suppressed	8556	Suppressed
	"Harrison County, MO"	"29081"	"2017"	"2017"	Suppressed	8524	Suppressed
	"Harrison County, MO"	"29081"	"2018"	"2018"	Suppressed	8414	Suppressed
	"Harrison County, MO"	"29081"	"2019"	"2019"	Suppressed	8352	Suppressed
	"Harrison County, MO"	"29081"	"2020 "	"2020"	Suppressed	8321	Suppressed
	"Henry County, MO"	"29083"	"2016"	"2016"	Suppressed	21594	Suppressed
	"Henry County, MO"	"29083"	"2017"	"2017"	Suppressed	21718	Suppressed
	"Henry County, MO"	"29083"	"2018"	"2018"	Suppressed	21792	Suppressed
	"Henry County, MO"	"29083"	"2019"	"2019"	Suppressed	21824	Suppressed
	"Henry County, MO"	"29083"	"2020 "	"2020"	Suppressed	22076	Suppressed
	"Hickory County, MO"	"29085"	"2016"	"2016"	Suppressed	9269	Suppressed
	"Hickory County, MO"	"29085"	"2017"	"2017"	Suppressed	9475	Suppressed
	"Hickory County, MO"	"29085"	"2018"	"2018"	Suppressed	9509	Suppressed
	"Hickory County, MO"	"29085"	"2019"	"2019"	Suppressed	9544	Suppressed
	"Hickory County, MO"	"29085"	"2020 "	"2020"	Suppressed	9586	Suppressed
	"Holt County, MO"	"29087"	"2016"	"2016"	Suppressed	4448	Suppressed
	"Holt County, MO"	"29087"	"2017"	"2017"	Suppressed	4413	Suppressed
	"Holt County, MO"	"29087"	"2018"	"2018"	Suppressed	4404	Suppressed
	"Holt County, MO"	"29087"	"2019"	"2019"	Suppressed	4403	Suppressed
	"Holt County, MO"	"29087"	"2020 "	"2020"	Suppressed	4232	Suppressed
	"Howard County, MO"	"29089"	"2016"	"2016"	Suppressed	10058	Suppressed
	"Howard County, MO"	"29089"	"2017"	"2017"	Suppressed	10139	Suppressed
	"Howard County, MO"	"29089"	"2018"	"2018"	Suppressed	10137	Suppressed
	"Howard County, MO"	"29089"	"2019"	"2019"	Suppressed	10001	Suppressed
	"Howard County, MO"	"29089"	"2020 "	"2020"	Suppressed	10001	Suppressed
	"Howell County, MO"	"29091"	"2016"	"2016"	Suppressed	40210	Suppressed
	"Howell County, MO"	"29091"	"2017"	"2017"	Suppressed	40103	Suppressed
	"Howell County, MO"	"29091"	"2018"	"2018"	Suppressed	40076	Suppressed
	"Howell County, MO"	"29091"	"2019"	"2019"	Suppressed	40117	Suppressed
	"Howell County, MO"	"29091"	"2020 "	"2020"	Suppressed	40262	Suppressed
	"Iron County, MO"	"29093"	"2016"	"2016"	Suppressed	10022	Suppressed
	"Iron County, MO"	"29093"	"2017"	"2017"	Suppressed	10226	Suppressed
	"Iron County, MO"	"29093"	"2018"	"2018"	Suppressed	10177	Suppressed
